Date,Open,High,Low,Close,Adj Close,Volume,normolize,diff,order,label,data
2003/4/10,34.477001,34.9398,34.168701,34.3232,20.188166,49287313983,-1.00701369,0.2314,804,1,0.2314
2003/4/11,34.400101,34.6315,34.245602,34.5546,20.324266,24538292561,-1.002428177,-0.925499,805,1,-0.925499
2003/4/14,34.5546,34.9398,33.629101,33.629101,19.779913,38925999487,-1.020768228,0.8479,806,1,0.8479
2003/4/15,34.245602,34.477001,33.8605,34.477001,20.278627,40375603135,-1.003965909,1.6973,807,1,1.6973
2003/4/16,35.248798,36.251202,35.248798,36.174301,21.276943,1.30E+11,-0.970331548,-0.848602,808,1,-0.848602
2003/4/17,36.174301,36.251202,35.325699,35.325699,20.777811,83916283846,-0.987147778,1.311401,809,1,1.311401
2003/4/18,36.405701,36.9454,36.328098,36.6371,21.549152,1.09E+11,-0.961160542,0.6166,810,1,0.6166
2003/4/21,36.6371,37.2537,36.251202,37.2537,21.911823,55647980615,-0.948941755,-1.002498,811,1,-1.002498
2003/4/22,36.9454,36.9454,36.096699,36.251202,21.322174,80199873212,-0.968807648,1.002498,812,1,1.002498
2003/4/23,36.9454,37.331299,36.714001,37.2537,21.911823,1.26E+11,-0.948941755,-0.771099,813,1,-0.771099
2003/4/24,37.022301,37.022301,36.096699,36.482601,21.458279,98290755966,-0.964222155,-1.388302,814,1,-1.388302
2003/4/25,35.480202,36.174301,34.8629,35.094299,20.641712,84724564783,-0.991733291,-1.156997,815,1,-1.156997
2003/4/28,34.014198,34.168701,33.166302,33.937302,19.961187,98643345075,-1.014660796,0.848697,816,1,0.848697
2003/4/29,34.6315,35.094299,34.245602,34.785999,20.460371,1.19E+11,-0.997842684,2.082501,817,1,2.082501
2003/4/30,37.1768,37.1768,36.559502,36.8685,21.685253,2.39E+11,-0.956575029,0.3852,818,1,0.3852
2003/5/2,36.790901,37.331299,36.790901,37.2537,21.911823,83687044653,-0.948941755,0.154499,819,1,0.154499
2003/5/5,37.408199,37.794102,37.2537,37.408199,22.002695,91162692371,-0.945880142,-0.539699,820,1,-0.539699
2003/5/6,37.408199,37.7164,36.714001,36.8685,21.685253,70984037754,-0.956575029,-0.077599,821,1,-0.077599
2003/5/7,37.022301,37.099899,36.482601,36.790901,21.639616,61006924944,-0.958112761,-0.771103,822,1,-0.771103
2003/5/8,36.6371,36.6371,36.019798,36.019798,21.186068,42516868833,-0.97339324,0.617302,823,1,0.617302
2003/5/9,36.096699,36.8685,36.096699,36.6371,21.549152,47392929379,-0.961160542,0.6166,824,1,0.6166
2003/5/12,37.1768,37.4851,37.022301,37.2537,21.911823,77305589742,-0.948941755,0.6941,825,1,0.6941
2003/5/13,37.9478,38.410599,37.794102,37.9478,22.320078,78423893057,-0.935187197,0,826,1,0
2003/5/14,37.794102,37.9478,37.639599,37.9478,22.320078,61289817590,-0.935187197,0.231399,827,1,0.231399
2003/5/15,37.9478,38.179199,37.639599,38.179199,22.456177,49432031133,-0.930601704,-0.5396,828,1,-0.5396
2003/5/16,38.410599,38.565102,37.639599,37.639599,22.138798,67041980695,-0.941294629,0.076801,829,1,0.076801
2003/5/19,37.639599,37.870899,37.1768,37.7164,22.183969,49004697287,-0.93977271,-0.694099,830,1,-0.694099
2003/5/20,36.8685,37.2537,36.714001,37.022301,21.775721,45992880507,-0.953527248,0,831,1,0
2003/5/21,37.022301,37.099899,36.714001,37.022301,21.775721,72198631594,-0.953527248,0,832,1,0
2003/5/22,36.790901,37.331299,36.559502,37.022301,21.775721,69367551632,-0.953527248,0.848598,833,1,0.848598
2003/5/23,37.331299,38.025501,37.1768,37.870899,22.274843,77408021521,-0.936711098,0.5397,834,1,0.5397
2003/5/26,38.179199,38.488201,38.179199,38.410599,22.592285,52531665132,-0.926016191,-0.385098,835,1,-0.385098
2003/5/27,38.410599,38.488201,38.025501,38.025501,22.365776,46901115078,-0.933647444,0.925499,836,1,0.925499
2003/5/28,38.951,39.722099,38.951,38.951,22.910139,1.12E+11,-0.915307393,1.157002,837,1,1.157002
2003/5/29,39.336201,40.108002,39.336201,40.108002,23.59066,1.41E+11,-0.892379789,1.156898,838,1,1.156898
2003/5/30,40.108002,42.421799,40.108002,41.2649,24.271122,1.50E+11,-0.869454245,2.3139,839,1,2.3139
2003/6/2,42.421799,43.964001,42.035999,43.5788,25.632109,1.42E+11,-0.823601097,-0.385898,840,1,-0.385898
2003/6/3,43.192902,43.5788,42.806999,43.192902,25.405134,77388153078,-0.831248203,1.156898,841,1,1.156898
2003/6/5,43.5788,45.120899,43.5788,44.3498,26.085596,1.35E+11,-0.808322659,0.771099,842,1,0.771099
2003/6/6,44.735699,45.120899,44.3498,45.120899,26.539139,86426622644,-0.793042259,0.385903,843,1,0.385903
2003/6/9,44.735699,46.277901,44.3498,45.506802,26.766119,1.11E+11,-0.785395054,-1.157002,844,1,-1.157002
2003/6/10,44.735699,45.120899,43.964001,44.3498,26.085596,53176080112,-0.808322659,-0.771,845,1,-0.771
2003/6/11,44.735699,44.735699,43.5788,43.5788,25.632109,60828888113,-0.823601097,1.542099,846,1,1.542099
2003/6/12,43.5788,46.277901,43.192902,45.120899,26.539139,1.36E+11,-0.793042259,-1.156898,847,1,-1.156898
2003/6/13,44.3498,44.3498,43.5788,43.964001,25.858671,66954958863,-0.815967803,-0.771099,848,1,-0.771099
2003/6/16,43.192902,43.964001,43.192902,43.192902,25.405134,51793232161,-0.831248203,1.542797,849,1,1.542797
2003/6/17,43.964001,45.120899,43.5788,44.735699,26.312569,1.01E+11,-0.800675533,0.771103,850,1,0.771103
2003/6/18,45.506802,45.8927,45.120899,45.506802,26.766119,84217697648,-0.785395054,0,851,1,0
2003/6/19,45.8927,45.8927,45.120899,45.506802,26.766119,64311298052,-0.785395054,-0.385903,852,1,-0.385903
2003/6/20,45.506802,45.8927,44.735699,45.120899,26.539139,47996941946,-0.793042259,-0.771099,853,1,-0.771099
2003/6/23,44.735699,45.506802,44.3498,44.3498,26.085596,39969701452,-0.808322659,-0.385799,854,1,-0.385799
2003/6/24,43.5788,43.964001,43.192902,43.964001,25.858671,55692208462,-0.815967803,0,855,1,0
2003/6/25,43.5788,44.735699,43.192902,43.964001,25.858671,53202095219,-0.815967803,0,856,1,0
2003/6/26,43.964001,44.735699,43.5788,43.964001,25.858671,32158936085,-0.815967803,0,857,1,0
2003/6/27,44.3498,44.735699,43.5788,43.964001,25.858671,46451326429,-0.815967803,0,858,1,0
2003/6/30,43.5788,44.3498,43.5788,43.964001,25.858671,28406803376,-0.815967803,1.156898,859,1,1.156898
2003/7/1,43.964001,45.120899,43.964001,45.120899,26.539139,60523811202,-0.793042259,1.157002,860,1,1.157002
2003/7/2,45.506802,46.277901,45.120899,46.277901,27.219666,57313158491,-0.770114655,0.771698,861,1,0.771698
2003/7/3,47.049599,48.591702,47.049599,47.049599,27.673561,85603229354,-0.754822385,0.771103,862,1,0.771103
2003/7/4,47.434799,47.820702,47.049599,47.820702,28.1271,76343658432,-0.739541906,-0.771603,863,1,-0.771603
2003/7/7,45.506599,47.049099,45.120998,47.049099,27.673264,93530378138,-0.754832293,0.771301,864,1,0.771301
2003/7/8,47.8204,48.206799,47.049099,47.8204,28.126926,99411793135,-0.73954789,-1.156898,865,1,-1.156898
2003/7/9,46.277901,47.049099,45.8923,46.663502,27.446463,70019632908,-0.762473434,-2.313801,866,1,-2.313801
2003/7/10,46.663502,46.663502,44.349701,44.349701,26.085537,60270946670,-0.808324621,0,867,1,0
2003/7/11,43.578499,44.349701,43.192799,44.349701,26.085537,56009053052,-0.808324621,1.542599,868,1,1.542599
2003/7/14,44.735401,46.277901,44.735401,45.8923,26.992859,66079090471,-0.777755875,0,869,1,0
2003/7/15,46.277901,46.663502,45.120998,45.8923,26.992859,43450565508,-0.777755875,0,870,1,0
2003/7/16,45.8923,46.277901,45.120998,45.8923,26.992859,37579020203,-0.777755875,-1.156899,871,1,-1.156899
2003/7/17,45.506599,45.8923,44.735401,44.735401,26.312397,56681930622,-0.800681439,0,872,1,0
2003/7/18,43.9641,45.120998,43.9641,44.735401,26.312397,49861126292,-0.800681439,-0.771301,873,1,-0.771301
2003/7/21,44.735401,45.506599,43.9641,43.9641,25.858734,33956790385,-0.815965841,-0.385601,874,1,-0.385601
2003/7/22,43.192799,44.349701,43.192799,43.578499,25.631933,55617667132,-0.823607061,0.771202,875,1,0.771202
2003/7/23,43.9641,45.120998,43.9641,44.349701,26.085537,63373446989,-0.808324621,0.771297,876,1,0.771297
2003/7/24,44.735401,45.120998,44.349701,45.120998,26.539196,79735503671,-0.793040297,-1.156898,877,1,-1.156898
2003/7/25,44.349701,44.735401,43.9641,43.9641,25.858734,58440484408,-0.815965841,0.771301,878,1,0.771301
2003/7/28,44.735401,45.120998,44.349701,44.735401,26.312397,39421416277,-0.800681439,-0.771301,879,1,-0.771301
2003/7/29,44.735401,44.735401,43.9641,43.9641,25.858734,27504468777,-0.815965841,0,880,1,0
2003/7/30,43.9641,44.349701,43.192799,43.9641,25.858734,53640026209,-0.815965841,1.542499,881,1,1.542499
2003/7/31,43.192799,45.506599,43.192799,45.506599,26.765997,1.14E+11,-0.785399077,0.771302,882,1,0.771302
2003/8/1,45.8923,46.663502,45.506599,46.277901,27.219666,93000320531,-0.770114655,0,883,1,0
2003/8/4,46.277901,46.663502,45.506599,46.277901,27.219666,51672961388,-0.770114655,-1.156903,884,1,-1.156903
2003/8/5,46.277901,46.663502,45.120998,45.120998,26.539196,58083131393,-0.793040297,0,885,1,0
2003/8/6,44.735401,45.506599,44.735401,45.120998,26.539196,32957912356,-0.793040297,1.156903,886,1,1.156903
2003/8/7,45.120998,46.277901,44.735401,46.277901,27.219666,52379977074,-0.770114655,-1.5425,887,1,-1.5425
2003/8/8,45.8923,45.8923,44.735401,44.735401,26.312397,45816395973,-0.800681439,-0.771301,888,1,-0.771301
2003/8/11,43.9641,44.349701,43.192799,43.9641,25.858734,50757720237,-0.815965841,0,889,1,0
2003/8/12,43.9641,44.735401,43.9641,43.9641,25.858734,28211679852,-0.815965841,1.542499,890,1,1.542499
2003/8/13,44.735401,45.8923,44.735401,45.506599,26.765997,58787867530,-0.785399077,0.385701,891,1,0.385701
